,city_name,temperature,humidity,wind_speed,cloudiness,latitude,longtitude
393,Punta Arenas,278.63,56,8.7,40,-53.15,-70.9167
394,Touros,298.15,83,3.1,20,-5.1989,-35.4608
395,Alofi,297.23,86,6.52,98,-19.0595,-169.9187
396,Jamestown,283.44,87,3.6,90,42.097,-79.2353
397,Pisco,291.87,77,2.1,90,-13.7,-76.2167
398,George Town,298.93,88,1.5,20,5.4112,100.3354
399,Pedro Juan Caballero,291.99,83,2.56,84,-22.5472,-55.7333
400,Avarua,300.15,74,3.6,73,-21.2078,-159.775
401,Cidreira,293.25,84,10.29,42,-30.1811,-50.2056
402,Castro,288.49,94,3.75,72,-24.7911,-50.0119
403,Departamento de Maldonado,295.85,69,3.6,14,-34.6667,-54.9167
404,Avera,292.2,72,2.6,1,33.194,-82.5271
405,San Cristobal,304.15,45,7.2,40,7.7669,-72.225
406,San Francisco,296.49,36,7.2,20,37.7749,-122.4194
407,Tacuarembó,295.09,87,2.81,3,-31.7333,-55.9833
408,Faanui,299.61,77,3.2,63,-16.4833,-151.75
409,Lebu,284.37,74,2.35,0,-37.6167,-73.65
410,Trelew,293.43,22,11.14,18,-43.249,-65.3051
411,Tiarei,301.04,69,4.6,40,-17.5333,-149.3333
412,Belmonte,295.15,88,1.0,75,-15.8631,-38.8828
413,Coquimbo,287.15,82,5.7,0,-29.9533,-71.3436
414,Rio do Sul,290.14,86,2.08,33,-27.2142,-49.6431
415,Antofagasta,288.15,82,5.7,90,-23.65,-70.4
416,Harper,298.2,90,2.98,100,4.375,-7.7169
417,San Carlos de Bariloche,281.15,61,13.9,40,-41.1456,-71.3082
418,Hualmay,290.64,77,3.93,17,-11.0964,-77.6139
419,Bom Jardim,293.27,88,3.71,84,-7.7958,-35.5872
420,Moerai,297.36,79,5.94,25,-22.4333,-151.3333
421,Saldanha,286.15,82,1.5,90,-33.0117,17.9442
422,Vila Velha,295.15,83,3.6,90,-20.3297,-40.2925
423,Chicama,292.15,77,4.6,51,-7.8447,-79.1469
424,Tarabuco,285.63,67,5.46,48,-19.1667,-64.9167
425,São João da Barra,295.32,79,7.07,71,-21.6403,-41.0511
426,Palmas,304.15,62,1.0,30,-10.2128,-48.3603
427,Santa Rosa,298.44,94,1.5,40,14.3122,121.1114
428,Natal,298.15,83,3.1,20,-5.795,-35.2094
429,Puerto Leguízamo,299.2,76,0.06,58,-0.1934,-74.7819
430,Tautira,301.04,69,4.6,40,-17.7333,-149.15
431,Valparaíso,290.02,55,6.2,0,-33.0393,-71.6273
432,Fare,299.68,80,5.06,62,-16.7,-151.0167
433,Pangoa,294.7,92,1.07,97,-12.1167,-73.0
434,Constitución,284.71,69,5.64,0,-35.3333,-72.4167
435,Capitán Bado,295.19,76,2.06,79,-23.2667,-55.5333
436,Nortelândia,299.31,66,1.64,100,-14.4547,-56.8028
437,Mazamari,296.06,77,0.89,82,-11.3258,-74.5308
438,Yanacancha,279.33,82,1.15,92,-10.2411,-76.6456
439,Rawson,292.74,24,11.27,35,-43.3002,-65.1023
440,Tocopilla,289.63,58,1.52,21,-22.092,-70.1979
441,Aparecida do Taboado,303.42,37,2.66,95,-20.0867,-51.0936
442,Maragogi,296.92,78,3.65,65,-9.0122,-35.2225
443,La Rioja,281.7,87,1.5,49,42.25,-2.5
444,Mirabela,294.72,74,4.07,37,-16.2628,-44.1644
445,Casa Nova,306.15,31,5.1,40,-9.4167,-41.1333
446,Benjamín Aceval,306.15,41,5.1,0,-24.9667,-57.5667
447,Entre Rios,294.17,93,1.51,33,-11.9419,-38.0844
448,Villamontes,303.62,32,0.81,56,-21.25,-63.5
449,Aquiraz,300.15,78,4.6,82,-3.9014,-38.3911
450,Severínia,299.4,47,2.86,85,-20.8094,-48.8028
451,São Sebastião,294.72,82,4.88,87,-23.76,-45.4097
